"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.94.78.223","94.130.237.200","TCP","74","46500  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=1610293459 TSecr=0 WS=128"
"2","0.105381007","94.130.237.200","100.94.78.223","TCP","74","443  >  46500 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2726633398 TSecr=1610293459 WS=128"
"3","0.105411249","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=1610293564 TSecr=2726633398"
"4","0.105807092","100.94.78.223","94.130.237.200","TLSv1.3","1785","Client Hello (SNI=anidb.net)"
"5","0.211036446","94.130.237.200","100.94.78.223","TCP","66","443  >  46500 [ACK] Seq=1 Ack=1720 Win=63872 Len=0 TSval=2726633504 TSecr=1610293565"
"6","0.213617733","94.130.237.200","100.94.78.223","TLSv1.3","4114","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"7","0.213631566","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=1720 Ack=4049 Win=31872 Len=0 TSval=1610293673 TSecr=2726633506"
"8","0.215359264","100.94.78.223","94.130.237.200","TLSv1.3","130","Change Cipher Spec, Application Data"
"9","0.215480112","100.94.78.223","94.130.237.200","TLSv1.3","158","Application Data"
"10","0.215578226","100.94.78.223","94.130.237.200","TLSv1.3","540","Application Data"
"11","0.320804191","94.130.237.200","100.94.78.223","TLSv1.3","145","Application Data"
"12","0.320852209","94.130.237.200","100.94.78.223","TLSv1.3","145","Application Data"
"13","0.320891874","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2350 Ack=4207 Win=31872 Len=0 TSval=1610293780 TSecr=2726633613"
"14","0.321320541","94.130.237.200","100.94.78.223","TLSv1.3","137","Application Data"
"15","0.321408843","100.94.78.223","94.130.237.200","TLSv1.3","97","Application Data"
"16","0.335192969","94.130.237.200","100.94.78.223","TLSv1.3","1240","Application Data"
"17","0.335260058","94.130.237.200","100.94.78.223","TLSv1.3","339","Application Data"
"18","0.335314976","100.94.78.223","94.130.237.200","TCP","66","46500  >  443 [ACK] Seq=2381 Ack=5725 Win=31872 Len=0 TSval=1610293794 TSecr=2726633628"
"19","0.335387309","94.130.237.200","100.94.78.223","TLSv1.3","318","Application Data"
"20","0.335509463","94.130.237.200","100.94.78.223","TLSv1.3","161","Application Data"
"21","0.335694980","94.130.237.200","100.94.78.223","TLSv1.3","205","Application Data, Application Data"
"22","0.335695018","94.130.237.200","100.94.78.223","TLSv1.3","121","Application Data"
"23","0.335726983","94.130.237.200","100.94.78.223","TLSv1.3","246","Application Data"
