Packet_Count,Total_Length,Avg_Pkt_Interval,Max_Pkt_Interval,Min_Pkt_Interval,Avg_Pkt_Length,Max_Pkt_Length,Min_Pkt_Length,Most_Common_Pkt_Length,Label
74,47555,0.013754192232876711,0.307575189,2.299999996013824e-08,642.6351351351351,5858,66,66,AniDB
50,45640,0.00677772979591836,0.12108378499999972,1.899999979571021e-08,912.8,4410,66,66,AniDB
27,14405,0.01838938426923078,0.16031719099999897,3.000000070585429e-08,533.5185185185185,8754,66,66,AniDB
46,23243,0.01050228091111115,0.10513298000000049,1.5999997771132257e-08,505.2826086956522,5858,66,66,AniDB
31,19169,0.009833826099999972,0.14872858400000055,2.233000000018137e-06,618.3548387096774,5858,66,66,AniDB
61,96853,0.007278404250000037,0.10515321099999397,2.4000001985768904e-08,1587.7540983606557,7306,66,66,AniDB
124,145489,0.006143801878048786,0.10763673299999965,1.6000001323845936e-08,1173.2983870967741,5858,66,66,AniDB
19,13517,0.015014076833333136,0.12027299799999724,1.899999801935337e-08,711.421052631579,8754,66,66,AniDB
37,19917,0.009982535694444492,0.10518942899999928,1.5429999962179863e-06,538.2972972972973,4410,66,66,AniDB
32,20510,0.011601549322580607,0.10581365699999878,2.006000002552355e-06,640.9375,7306,66,66,AniDB
119,140261,0.007141492627118706,0.2378368110000082,1.899999801935337e-08,1178.6638655462184,5858,66,66,AniDB
51,50930,0.009170806080000204,0.14573320300000603,1.899999801935337e-08,998.6274509803922,5858,66,66,AniDB
46,60950,0.014160542622222275,0.15636124200000268,2.999999537678377e-08,1325.0,11650,66,66,AniDB
34,32144,0.012826585969697024,0.10523732699999755,6.600000119760807e-07,945.4117647058823,7306,66,66,AniDB
36,34153,0.009649152685714008,0.1051206629999939,1.899999801935337e-08,948.6944444444445,11152,66,66,AniDB
18,8115,0.017124588352941447,0.14136195300000054,1.8000008594754036e-08,450.8333333333333,2962,66,66,AniDB
22,15824,0.013081041285714502,0.10530487200000493,6.856999988258394e-06,719.2727272727273,4410,66,66,AniDB
25,8469,0.016423130416666726,0.10513443199999983,2.1999994714860804e-08,338.76,2962,66,66,AniDB
26,7847,0.010867853720000084,0.12133405500000549,4.800000397153781e-08,301.8076923076923,2962,66,66,AniDB
22,8261,0.016756701476190357,0.10633476900000005,1.899999801935337e-08,375.5,2199,66,66,AniDB
24,15959,0.01170608769565285,0.11736106899999754,1.9999987443952705e-08,664.9583333333334,4410,66,66,AniDB
28,15023,0.009802336481482354,0.10523262099999897,1.6000001323845936e-08,536.5357142857143,5858,66,66,AniDB
35,19432,0.009762308676470485,0.10517175900000097,1.499998347753717e-08,555.2,5858,66,66,AniDB
18,12716,0.014072042176471367,0.10523369700001695,5.000001124244591e-08,706.4444444444445,6001,66,66,AniDB
20,13414,0.02074413515789412,0.14570634499997936,1.3999994052937836e-08,670.7,8754,66,66,AniDB
76,101557,0.011041213693333324,0.1447043769999823,1.300000178616756e-07,1336.2763157894738,8931,66,66,AniDB
77,81420,0.013084130394737022,0.2999107649999928,1.699999074844527e-08,1057.4025974025974,5978,66,66,AniDB
85,82065,0.009311896773809619,0.10511718300000439,1.8000008594754036e-08,965.4705882352941,5858,66,66,AniDB
19,13628,0.014789039944443201,0.1165020459999937,1.1958000015965808e-05,717.2631578947369,4363,66,66,AniDB
19,13587,0.014893983888888506,0.10509868900001607,2.499999141036824e-08,715.1052631578947,4410,66,66,AniDB
21,14054,0.013472996000000136,0.10511198000000377,1.5209999986609546e-05,669.2380952380952,4410,66,66,AniDB
31,18417,0.01259457570000014,0.10522754900000564,2.3999973564059474e-08,594.0967741935484,5858,66,66,AniDB
27,7436,0.010543625269231317,0.10509987800000431,1.7330000048332295e-06,275.4074074074074,1555,66,66,AniDB
21,13935,0.015147691500000348,0.10524168099999542,1.6000001323845936e-08,663.5714285714286,4410,66,66,AniDB
27,10255,0.018974503538462254,0.2809120570000232,1.1950000100569014e-06,379.81481481481484,4410,66,66,AniDB
