Packet_Count,Total_Length,Avg_Pkt_Interval,Max_Pkt_Interval,Min_Pkt_Interval,Avg_Pkt_Length,Max_Pkt_Length,Min_Pkt_Length,Most_Common_Pkt_Length,Label
984,5524349,0.0010527300976602239,0.14753579299999997,1.400000004814217e-08,5614.17581300813,30474,66,66,AniList
1179,5999770,0.000793807606112054,0.12155355400000012,1.2999999299267984e-08,5088.863443596268,30474,66,66,AniList
156,1017805,0.0024968758322580654,0.22667251899999918,3.4000001036815775e-08,6524.391025641025,21786,66,66,AniList
68,267125,0.0032812847910447763,0.045784250000000526,1.999999810209374e-08,3928.3088235294117,17442,66,66,AniList
482,3466070,0.0010776311787941896,0.04364179699999937,1.8000001489326678e-08,7191.016597510374,29026,66,78,AniList
618,5329806,0.0005944243354943302,0.04235144199999752,1.899999801935337e-08,8624.281553398057,31922,66,94,AniList
809,7354938,0.0009686709480198039,0.08309036200000008,1.4999997688391886e-08,9091.394313967861,30474,66,94,AniList
615,6229935,0.0006154364381107556,0.048197678000001076,1.7000004959299986e-08,10129.975609756097,31922,66,94,AniList
240,1561651,0.00203630451464438,0.11895705200001316,2.000000165480742e-08,6506.879166666667,30474,66,94,AniList
567,4633830,0.0006265997756183891,0.10986978100000044,-1.0490000050822346e-06,8172.539682539683,30474,66,94,AniList
352,3157954,0.0010170993390313321,0.11417681499999333,1.799999438389932e-08,8971.460227272728,30474,66,94,AniList
397,2726278,0.001604260477272709,0.07320575199999269,1.899999801935337e-08,6867.198992443325,30474,66,66,AniList
24,80047,0.350692707434783,8.009502393000005,1.4999997688391886e-08,3335.2916666666665,19687,66,66,AniList
468,3668108,0.015910024398286926,6.926537355000008,1.899999801935337e-08,7837.8376068376065,33370,66,94,AniList
185,1254780,0.0003988932445652561,0.011997973999996248,1.4999997688391886e-08,6782.594594594595,30474,66,94,AniList
124,661334,0.008170224024390228,0.2800732980000049,4.000000330961484e-08,5333.3387096774195,30474,66,66,AniList
9,2436,0.016404575499999297,0.059613945000009494,1.6000001323845936e-08,270.6666666666667,869,66,66,AniList
507,1547757,0.0024044800691699697,0.10621376900000712,1.699999074844527e-08,3052.775147928994,30474,66,66,AniList
753,1013331,0.0012026785452127705,0.14825190499999508,2.312000020765481e-06,1345.7250996015937,4410,66,66,AniList
402,744385,0.0008764004513715748,0.06355668099999434,-1.650000172048749e-07,1851.7039800995026,5858,66,66,AniList
1468,5409373,0.0005336036094069623,0.04705522700001552,1.499998347753717e-08,3684.858991825613,15994,66,1514,AniList
692,5302819,0.000756172329956592,0.05321519599999647,1.50000118992466e-08,7663.03323699422,26130,66,78,AniList
642,6081411,0.0008029678112324243,0.13606554099999357,-5.395000016505946e-06,9472.602803738318,30474,66,94,AniList
548,5638324,0.0006886575923217473,0.05005361599998537,1.50000118992466e-08,10288.912408759124,30474,66,94,AniList
603,6124197,0.0005568043372093192,0.04025362100000507,1.6000001323845936e-08,10156.213930348258,30474,66,94,AniList
551,5389592,0.004253039014545473,2.0353071670000134,1.499998347753717e-08,9781.473684210527,32022,66,94,AniList
389,4257712,0.0008967050567010578,0.06297326399999292,1.8000008594754036e-08,10945.275064267353,30474,66,30474,AniList
365,2947537,0.0009153015659340989,0.0524497849999932,2.100000529026147e-08,8075.443835616438,31760,66,94,AniList
400,3503938,0.000858302090225544,0.06263345799999342,1.699999074844527e-08,8759.845,30474,66,94,AniList
617,5171351,0.00325932575487016,1.2392198670000028,1.499998347753717e-08,8381.444084278768,30474,66,94,AniList
1411,11616074,0.0028567382106383056,1.5163780409999958,1.3000004628338502e-08,8232.51169383416,31922,66,94,AniList
2350,12996561,0.0014754853729246533,0.40921696299997734,1.50000118992466e-08,5530.451489361702,31922,66,66,AniList
39,90492,0.11499512702631576,4.206211300000007,1.9999987443952705e-08,2320.3076923076924,15994,66,66,AniList
315,2198644,0.0009947134426751048,0.049565465000000586,1.899999801935337e-08,6979.822222222222,21786,66,94,AniList
691,4969093,0.0011452951753623424,0.05580269200001453,1.499998347753717e-08,7191.162083936324,29026,66,94,AniList
470,4241382,0.0008752010362473833,0.05987680900000214,1.50000118992466e-08,9024.217021276596,34818,66,30474,AniList
384,3580079,0.0008854850757180006,0.042931080000016664,2.6999998681276338e-08,9323.122395833334,30474,66,94,AniList
423,3856127,0.019556163616113672,7.843988297999999,1.8000037016463466e-08,9116.139479905438,31522,66,94,AniList
830,6108462,0.0005967019855247945,0.04080063499998232,1.50000118992466e-08,7359.592771084337,32936,66,94,AniList
14,2947,0.010080197846154814,0.05554448200001616,4.400004627314047e-08,210.5,889,66,66,AniList
