"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.94.78.223","52.85.132.73","TCP","74","47546  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=2375053876 TSecr=0 WS=128"
"2","0.009113881","52.85.132.73","100.94.78.223","TCP","74","443  >  47546 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM TSval=953959437 TSecr=2375053876 WS=512"
"3","0.009159839","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=2375053885 TSecr=953959437"
"4","0.009657402","100.94.78.223","52.85.132.73","TLSv1.3","1823","Client Hello (SNI=myanimelist.net)"
"5","0.018632166","52.85.132.73","100.94.78.223","TCP","66","443  >  47546 [ACK] Seq=1 Ack=1758 Win=69120 Len=0 TSval=953959446 TSecr=2375053886"
"6","0.019014511","52.85.132.73","100.94.78.223","TLSv1.3","1494","Server Hello, Change Cipher Spec, Application Data"
"7","0.019021061","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=1758 Ack=1429 Win=31872 Len=0 TSval=2375053895 TSecr=953959447"
"8","0.019103350","52.85.132.73","100.94.78.223","TCP","2922","443  >  47546 [PSH, ACK] Seq=1429 Ack=1758 Win=69120 Len=2856 TSval=953959447 TSecr=2375053886 [TCP segment of a reassembled PDU]"
"9","0.019107593","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=1758 Ack=4285 Win=31872 Len=0 TSval=2375053895 TSecr=953959447"
"10","0.020854561","52.85.132.73","100.94.78.223","TLSv1.3","1756","Application Data, Application Data, Application Data"
"11","0.020901605","100.94.78.223","52.85.132.73","TCP","66","47546  >  443 [ACK] Seq=1758 Ack=5975 Win=31872 Len=0 TSval=2375053897 TSecr=953959448"
"12","0.046025718","100.94.78.223","52.85.132.73","TLSv1.3","130","Change Cipher Spec, Application Data"
"13","0.046105401","100.94.78.223","52.85.132.73","TLSv1.3","158","Application Data"
